A1_155_	A1_073_	A1_097_	A2_255_	A2_034_	A2_044_	A2_099_	D5_002_	D5_031_	D5_004_	D5_053_	A2_101_	D5_ggg_
3018 	3228 	3161 	3493 	3166 	3178 	2927 	160 	176 	337 	129 	4682 	297 
2021 	2083 	1678 	1452 	1914 	1619 	1938 	1217 	1137 	755 	1196 	1575 	861 
1919 	1829 	1969 	2318 	2156 	1983 	1879 	233 	240 	242 	212 	1995 	297 
1825 	1735 	1911 	2362 	2083 	1955 	1871 	193 	190 	243 	159 	2034 	281 
2058 	1913 	1880 	1340 	1843 	1677 	1899 	464 	481 	321 	443 	1691 	412 
1815 	1997 	1857 	1850 	1891 	1694 	1740 	128 	92 	129 	122 	2347 	107 
1763 	1554 	1769 	2115 	2059 	2026 	1863 	103 	119 	144 	99 	1848 	141 
1537 	1440 	1835 	2457 	1989 	1864 	1648 	189 	210 	299 	150 	1546 	365 
1519 	1491 	1539 	1786 	1587 	1466 	1350 	661 	696 	642 	629 	1122 	983 
1129 	1432 	1141 	1117 	1113 	1007 	1193 	1012 	852 	1674 	920 	1765 	882 
1640 	2005 	1546 	1492 	1617 	1425 	1699 	84 	88 	98 	76 	2747 	99 
1408 	1283 	1645 	2150 	2141 	1966 	1770 	20 	19 	13 	30 	2043 	33 
1522 	1382 	1533 	1914 	1801 	1780 	1597 	151 	134 	244 	130 	2051 	170 
1628 	1666 	1515 	1410 	1590 	1327 	1603 	294 	202 	288 	231 	1954 	212 
1345 	1276 	1371 	1628 	1769 	1571 	1641 	10 	7 	8 	11 	2244 	5 
1199 	986 	1455 	2248 	1756 	1575 	1380 	0 	0 	0 	0 	1984 	0 
1316 	1262 	1449 	1683 	1610 	1547 	1376 	178 	175 	173 	195 	1279 	249 
1161 	1414 	1217 	1685 	1585 	1453 	1514 	2 	3 	4 	5 	2364 	5 
1209 	1572 	1129 	856 	1098 	1007 	1303 	574 	527 	749 	551 	1343 	473 
1403 	1215 	1215 	1428 	1445 	1351 	1438 	289 	280 	206 	236 	1581 	247 
1567 	1526 	1405 	1183 	1461 	1270 	1375 	280 	255 	216 	303 	1238 	245 
1423 	1463 	1384 	1365 	1471 	1389 	1460 	212 	182 	174 	198 	1283 	154 
1359 	1068 	1375 	1814 	1740 	1685 	1519 	35 	41 	26 	47 	1172 	25 
1500 	1264 	1410 	1441 	1604 	1570 	1544 	29 	47 	22 	43 	1223 	43 
949 	914 	1090 	1890 	1631 	1640 	1510 	0 	0 	0 	0 	2072 	0 
1123 	1234 	1056 	793 	883 	946 	1021 	649 	756 	522 	662 	756 	837 
1296 	1165 	1104 	1006 	1190 	1072 	1141 	456 	366 	386 	324 	1261 	345 
955 	901 	1188 	1933 	1584 	1604 	1274 	27 	27 	28 	21 	1407 	39 
1281 	1068 	1210 	1368 	1535 	1326 	1367 	0 	0 	0 	1 	1008 	1 
901 	813 	1098 	1646 	1332 	1327 	1115 	39 	39 	41 	37 	1275 	42 
917 	901 	1038 	1460 	1372 	1288 	1215 	0 	0 	0 	0 	1505 	0 
981 	1400 	1048 	1177 	1074 	909 	1111 	0 	0 	0 	0 	1952 	0 
762 	795 	828 	1412 	1312 	1264 	1317 	1 	2 	1 	0 	1829 	0 
894 	949 	898 	902 	954 	868 	904 	344 	324 	466 	299 	1245 	379 
885 	974 	956 	872 	974 	875 	880 	221 	181 	273 	150 	1278 	149 
890 	888 	945 	1149 	1065 	1098 	1012 	76 	98 	116 	71 	1136 	110 
891 	1073 	879 	885 	936 	899 	975 	222 	151 	288 	183 	1076 	178 
668 	832 	815 	831 	810 	772 	713 	349 	344 	611 	326 	973 	457 
669 	907 	686 	541 	778 	665 	743 	475 	431 	722 	414 	896 	317 
737 	635 	918 	1364 	1149 	1056 	925 	49 	59 	79 	53 	1103 	56 
826 	630 	924 	1408 	1183 	1105 	993 	30 	22 	27 	19 	883 	47 
780 	869 	916 	1098 	958 	996 	951 	0 	0 	1 	0 	1336 	0 
726 	724 	885 	1164 	994 	996 	962 	80 	71 	87 	61 	860 	110 
867 	865 	872 	920 	931 	883 	889 	78 	75 	74 	59 	1029 	85 
900 	844 	1002 	1022 	913 	954 	817 	50 	40 	50 	37 	800 	56 
543 	558 	487 	435 	478 	458 	516 	714 	593 	796 	659 	566 	540 
876 	852 	878 	1001 	914 	907 	840 	35 	42 	41 	28 	817 	36 
861 	935 	927 	827 	853 	798 	881 	9 	17 	22 	16 	1019 	14 
838 	814 	806 	902 	945 	778 	902 	5 	3 	6 	5 	1106 	4 
634 	540 	794 	1350 	1043 	1067 	795 	7 	8 	9 	16 	740 	20 
502 	500 	490 	450 	505 	493 	563 	483 	572 	619 	536 	484 	628 
653 	703 	634 	820 	942 	803 	944 	0 	0 	0 	0 	1122 	1 
538 	504 	562 	557 	546 	482 	510 	447 	439 	457 	416 	491 	582 
871 	923 	814 	748 	759 	699 	731 	0 	0 	2 	0 	932 	0 
807 	816 	772 	680 	826 	771 	820 	48 	64 	42 	51 	733 	28 
706 	864 	728 	629 	655 	652 	744 	48 	40 	73 	40 	1016 	58 
676 	626 	716 	884 	829 	831 	719 	0 	0 	0 	0 	964 	0 
555 	462 	663 	1102 	940 	834 	681 	5 	8 	12 	8 	884 	11 
700 	948 	742 	623 	723 	625 	706 	0 	0 	0 	0 	1092 	0 
710 	659 	658 	781 	842 	734 	772 	0 	0 	0 	0 	925 	0 
513 	443 	511 	690 	637 	635 	621 	254 	286 	199 	248 	496 	238 
528 	555 	361 	366 	464 	427 	526 	442 	427 	380 	467 	489 	319 
627 	531 	636 	895 	731 	797 	681 	0 	0 	0 	0 	715 	1 
